Manifest,1,2,3,4,5,6,7,8,9,10,11,12
A,Cq 300 µM,Cq 100 µM,Cq 33.3 µM,bAla 100 µM,bAla 33.3 µM,bAla 11.1 µM,48/80,DMSO,500,250,125,0
B,Cq 300 µM,Cq 100 µM,Cq 33.3 µM,bAla 100 µM,bAla 33.3 µM,bAla 11.1 µM,48/80,DMSO,500,250,125,0
C,Cq 300 µM,Cq 100 µM,Cq 33.3 µM,bAla 100 µM,bAla 33.3 µM,bAla 11.1 µM,48/80,DMSO,500,250,125,0
D,Blank,Blank,Blank,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
