Excitation/Emission,450 nm/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed read,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetic settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total run time,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycles,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake settings (before 1st read),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),450 nm/-,Cycle(Seconds)/Well,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,,0,0.784,0.412,0.22,0.197,0.189,0.195,0.214,0.198,0.172,0.267,0.174,0.034,1.293,0.389,0.207,0.178,0.177,0.181,0.194,0.187,0.156,0.301,0.157,0.03,1.219,0.349,0.195,0.168,0.16,0.174,0.184,0.174,0.147,0.246,0.148,0.032,0.335,0.117,0.083,0.078,0.077,0.077,0.083,0.08,0.07,0.13,0.033,0.033,0.289,0.107,0.079,0.077,0.075,0.073,0.076,0.079,0.082,0.127,0.035,0.035,0.251,0.108,0.08,0.073,0.071,0.074,0.076,0.075,0.067,0.119,0.034,0.034,0.991,0.801,0.596,0.43,0.247,0.056,0.034,0.034,0.035,0.033,0.033,0.033,0.983,0.786,0.624,0.416,0.233,0.062,0.033,0.033,0.033,0.033,0.034,0.034
,,120,1.602,0.919,0.467,0.402,0.38,0.4,0.439,0.405,0.339,0.57,0.35,0.036,2.844,0.878,0.455,0.377,0.371,0.386,0.426,0.402,0.319,0.658,0.338,0.03,2.778,0.843,0.438,0.369,0.35,0.379,0.408,0.385,0.308,0.561,0.32,0.033,0.833,0.235,0.134,0.121,0.119,0.124,0.136,0.131,0.105,0.259,0.033,0.033,0.791,0.222,0.134,0.12,0.118,0.119,0.13,0.127,0.112,0.258,0.034,0.035,0.677,0.224,0.141,0.12,0.115,0.123,0.13,0.131,0.106,0.262,0.034,0.034,1.014,0.829,0.627,0.44,0.247,0.056,0.034,0.034,0.035,0.033,0.033,0.033,1.038,0.829,0.652,0.437,0.243,0.059,0.033,0.033,0.033,0.033,0.034,0.034
,,239.89,2.231,1.394,0.706,0.602,0.57,0.599,0.662,0.605,0.503,0.848,0.523,0.036,3.649,1.347,0.692,0.576,0.563,0.586,0.648,0.61,0.483,0.974,0.512,0.031,3.643,1.31,0.673,0.565,0.539,0.583,0.631,0.595,0.471,0.85,0.492,0.033,1.33,0.348,0.189,0.166,0.162,0.171,0.188,0.18,0.143,0.391,0.033,0.033,1.318,0.341,0.193,0.168,0.165,0.167,0.184,0.178,0.15,0.393,0.034,0.035,1.103,0.339,0.202,0.168,0.162,0.171,0.183,0.185,0.147,0.406,0.034,0.034,1.04,0.836,0.632,0.443,0.248,0.058,0.034,0.034,0.035,0.033,0.033,0.033,1.055,0.845,0.658,0.444,0.246,0.059,0.033,0.033,0.033,0.033,0.034,0.034
,,359.82,2.384,1.838,0.942,0.796,0.756,0.795,0.877,0.801,0.664,1.086,0.691,0.035,3.741,1.791,0.924,0.771,0.75,0.783,0.865,0.816,0.644,1.244,0.681,0.031,3.752,1.745,0.905,0.762,0.725,0.782,0.846,0.799,0.63,1.116,0.664,0.034,1.805,0.464,0.244,0.212,0.205,0.219,0.24,0.229,0.181,0.521,0.033,0.033,1.818,0.459,0.252,0.217,0.21,0.216,0.24,0.23,0.189,0.531,0.035,0.035,1.521,0.456,0.262,0.217,0.208,0.22,0.237,0.239,0.188,0.552,0.034,0.035,1.056,0.844,0.64,0.447,0.249,0.055,0.034,0.034,0.035,0.033,0.033,0.033,1.082,0.856,0.661,0.448,0.246,0.06,0.033,0.033,0.033,0.033,0.034,0.034
,,479.97,2.354,2.248,1.169,0.988,0.938,0.984,1.086,0.991,0.82,1.303,0.854,0.038,3.738,2.2,1.154,0.962,0.933,0.974,1.073,1.016,0.802,1.441,0.849,0.031,3.755,2.152,1.13,0.952,0.909,0.976,1.054,0.999,0.785,1.364,0.827,0.035,2.253,0.579,0.299,0.259,0.25,0.266,0.291,0.28,0.22,0.652,0.033,0.033,2.292,0.577,0.311,0.266,0.256,0.264,0.295,0.283,0.228,0.667,0.034,0.035,1.925,0.573,0.322,0.266,0.256,0.268,0.291,0.295,0.23,0.695,0.034,0.034,1.08,0.844,0.644,0.451,0.25,0.057,0.034,0.034,0.035,0.033,0.033,0.033,1.101,0.854,0.664,0.448,0.247,0.059,0.033,0.033,0.033,0.033,0.034,0.034
,,599.89,2.336,2.618,1.387,1.169,1.113,1.17,1.287,1.174,0.973,1.5,1.011,0.038,3.722,2.573,1.373,1.146,1.11,1.16,1.276,1.21,0.955,1.653,1.006,0.031,3.732,2.526,1.346,1.135,1.086,1.163,1.255,1.191,0.936,1.593,0.983,0.035,2.667,0.694,0.356,0.306,0.293,0.314,0.344,0.33,0.257,0.781,0.033,0.033,2.734,0.695,0.371,0.315,0.302,0.314,0.35,0.336,0.269,0.801,0.034,0.035,2.307,0.689,0.384,0.316,0.303,0.317,0.345,0.347,0.272,0.835,0.034,0.034,1.085,0.844,0.647,0.451,0.25,0.056,0.034,0.034,0.035,0.033,0.033,0.033,1.105,0.858,0.662,0.446,0.247,0.059,0.033,0.033,0.033,0.033,0.034,0.034
,,719.8,2.33,2.944,1.598,1.349,1.285,1.347,1.481,1.351,1.12,1.683,1.162,0.039,3.716,2.911,1.584,1.325,1.282,1.34,1.471,1.398,1.105,1.866,1.159,0.031,3.72,2.863,1.556,1.315,1.257,1.345,1.449,1.377,1.084,1.805,1.135,0.036,3.034,0.808,0.412,0.353,0.338,0.362,0.394,0.381,0.296,0.908,0.033,0.033,3.105,0.812,0.431,0.363,0.349,0.363,0.406,0.389,0.308,0.933,0.034,0.035,2.665,0.806,0.444,0.365,0.35,0.366,0.398,0.402,0.313,0.974,0.034,0.034,1.083,0.846,0.646,0.452,0.251,0.058,0.034,0.034,0.035,0.033,0.033,0.033,1.105,0.858,0.663,0.448,0.247,0.06,0.033,0.033,0.033,0.033,0.034,0.034
,,839.88,2.315,3.214,1.801,1.519,1.45,1.52,1.669,1.524,1.265,1.851,1.309,0.04,3.718,3.191,1.791,1.499,1.45,1.515,1.66,1.579,1.251,2.038,1.308,0.031,3.715,3.153,1.758,1.491,1.423,1.522,1.638,1.559,1.227,2.004,1.282,0.036,3.331,0.922,0.469,0.399,0.382,0.41,0.446,0.432,0.334,1.035,0.033,0.033,3.403,0.928,0.49,0.412,0.396,0.411,0.461,0.441,0.349,1.063,0.035,0.035,2.992,0.922,0.504,0.415,0.398,0.414,0.452,0.456,0.355,1.111,0.034,0.034,1.086,0.848,0.644,0.452,0.252,0.058,0.034,0.034,0.035,0.033,0.033,0.033,1.104,0.86,0.658,0.447,0.246,0.061,0.033,0.033,0.033,0.033,0.034,0.034
,,959.81,2.327,3.419,1.994,1.689,1.612,1.685,1.848,1.69,1.405,2.01,1.45,0.04,3.709,3.421,1.988,1.667,1.612,1.684,1.842,1.755,1.392,2.204,1.452,0.031,3.704,3.39,1.953,1.66,1.588,1.692,1.82,1.733,1.367,2.191,1.425,0.036,3.55,1.035,0.525,0.446,0.426,0.456,0.498,0.483,0.373,1.159,0.033,0.033,3.599,1.041,0.548,0.461,0.443,0.46,0.516,0.494,0.389,1.19,0.034,0.035,3.27,1.037,0.565,0.464,0.445,0.463,0.505,0.51,0.396,1.243,0.034,0.034,1.083,0.847,0.643,0.452,0.25,0.058,0.034,0.034,0.035,0.033,0.033,0.033,1.104,0.858,0.664,0.445,0.248,0.061,0.033,0.033,0.033,0.033,0.034,0.034
,,1079.97,2.317,3.555,2.181,1.85,1.767,1.848,2.023,1.85,1.543,2.161,1.589,0.039,3.697,3.57,2.177,1.83,1.771,1.847,2.018,1.924,1.53,2.365,1.594,0.031,3.704,3.56,2.141,1.822,1.746,1.858,1.996,1.902,1.504,2.368,1.564,0.037,3.676,1.148,0.581,0.493,0.47,0.504,0.549,0.534,0.411,1.28,0.033,0.033,3.695,1.155,0.608,0.51,0.489,0.509,0.571,0.546,0.428,1.316,0.034,0.035,3.483,1.151,0.627,0.513,0.492,0.512,0.559,0.564,0.438,1.374,0.034,0.034,1.083,0.847,0.642,0.45,0.248,0.059,0.034,0.034,0.035,0.033,0.033,0.033,1.105,0.859,0.662,0.448,0.246,0.062,0.033,0.033,0.033,0.033,0.034,0.034
,,1199.8,2.325,3.644,2.36,2.003,1.92,2.002,2.187,2.003,1.675,2.3,1.721,0.04,3.691,3.677,2.36,1.988,1.921,2.005,2.186,2.088,1.664,2.512,1.728,0.031,3.675,3.67,2.323,1.982,1.899,2.017,2.166,2.065,1.636,2.536,1.697,0.039,3.739,1.26,0.637,0.539,0.514,0.551,0.6,0.584,0.45,1.399,0.033,0.033,3.739,1.266,0.666,0.558,0.534,0.557,0.624,0.597,0.468,1.439,0.034,0.035,3.636,1.262,0.686,0.562,0.539,0.56,0.613,0.617,0.479,1.502,0.034,0.034,1.08,0.846,0.641,0.451,0.249,0.057,0.034,0.034,0.035,0.033,0.033,0.033,1.105,0.86,0.663,0.445,0.247,0.061,0.033,0.033,0.033,0.033,0.034,0.034
,,1319.85,2.328,3.692,2.529,2.152,2.065,2.155,2.348,2.153,1.804,2.434,1.851,0.04,3.688,3.735,2.533,2.142,2.071,2.159,2.35,2.237,1.795,2.66,1.86,0.032,3.68,3.747,2.497,2.136,2.047,2.172,2.329,2.223,1.765,2.692,1.827,0.037,3.747,1.369,0.692,0.586,0.558,0.597,0.652,0.635,0.487,1.517,0.033,0.033,3.75,1.377,0.724,0.606,0.58,0.605,0.679,0.649,0.507,1.56,0.035,0.035,3.726,1.373,0.748,0.61,0.585,0.608,0.665,0.67,0.519,1.628,0.034,0.034,1.082,0.844,0.64,0.45,0.249,0.058,0.034,0.034,0.035,0.033,0.033,0.033,1.104,0.86,0.661,0.444,0.247,0.062,0.033,0.033,0.033,0.033,0.034,0.034
,,1440.02,2.32,3.702,2.693,2.299,2.209,2.3,2.5,2.298,1.93,2.561,1.976,0.04,3.672,3.749,2.694,2.289,2.214,2.306,2.506,2.388,1.923,2.793,1.989,0.031,3.684,3.768,2.663,2.284,2.193,2.323,2.488,2.375,1.892,2.842,1.954,0.036,3.733,1.478,0.746,0.631,0.602,0.644,0.702,0.684,0.525,1.633,0.033,0.033,3.749,1.486,0.783,0.654,0.626,0.654,0.733,0.7,0.547,1.68,0.035,0.035,3.755,1.482,0.806,0.658,0.632,0.655,0.718,0.723,0.56,1.753,0.034,0.034,1.08,0.848,0.64,0.45,0.249,0.059,0.034,0.034,0.035,0.033,0.033,0.033,1.102,0.86,0.661,0.445,0.247,0.061,0.033,0.033,0.033,0.033,0.034,0.034
,,1559.9,2.315,3.718,2.844,2.437,2.343,2.437,2.648,2.437,2.052,2.678,2.098,0.04,3.674,3.764,2.849,2.432,2.351,2.449,2.656,2.534,2.046,2.904,2.113,0.032,3.67,3.796,2.824,2.428,2.335,2.467,2.64,2.52,2.014,2.982,2.077,0.037,3.738,1.586,0.8,0.677,0.645,0.691,0.754,0.734,0.563,1.747,0.033,0.033,3.74,1.595,0.84,0.702,0.67,0.701,0.787,0.752,0.585,1.797,0.034,0.035,3.788,1.592,0.867,0.706,0.677,0.703,0.768,0.775,0.6,1.874,0.034,0.034,1.084,0.849,0.638,0.448,0.247,0.058,0.034,0.034,0.035,0.033,0.033,0.033,1.102,0.859,0.658,0.446,0.247,0.062,0.033,0.033,0.033,0.033,0.034,0.034
,,1679.8,2.32,3.719,2.988,2.572,2.475,2.573,2.784,2.57,2.172,2.79,2.217,0.038,3.668,3.771,2.997,2.569,2.486,2.586,2.796,2.673,2.166,3.026,2.233,0.031,3.672,3.79,2.979,2.566,2.472,2.605,2.786,2.66,2.131,3.109,2.196,0.037,3.739,1.691,0.855,0.723,0.688,0.737,0.804,0.784,0.6,1.858,0.033,0.033,3.742,1.699,0.897,0.749,0.716,0.75,0.84,0.802,0.625,1.912,0.034,0.035,3.792,1.695,0.923,0.754,0.723,0.75,0.82,0.828,0.64,1.992,0.034,0.034,1.08,0.845,0.638,0.449,0.248,0.058,0.034,0.034,0.035,0.033,0.033,0.033,1.102,0.857,0.662,0.443,0.247,0.063,0.033,0.033,0.033,0.033,0.034,0.034
,,1799.93,2.317,3.717,3.123,2.698,2.598,2.7,2.916,2.698,2.286,2.9,2.332,0.04,3.666,3.774,3.127,2.701,2.613,2.717,2.932,2.806,2.284,3.122,2.351,0.031,3.665,3.787,3.122,2.698,2.607,2.736,2.926,2.794,2.248,3.225,2.313,0.038,3.744,1.797,0.909,0.769,0.731,0.782,0.856,0.833,0.637,1.968,0.033,0.033,3.757,1.806,0.954,0.796,0.76,0.796,0.893,0.852,0.662,2.025,0.035,0.035,3.795,1.801,0.983,0.801,0.769,0.797,0.873,0.88,0.679,2.11,0.034,0.034,1.089,0.848,0.637,0.448,0.247,0.058,0.034,0.034,0.035,0.033,0.033,0.033,1.102,0.859,0.658,0.445,0.246,0.062,0.033,0.033,0.033,0.033,0.034,0.034
