Manifest,1,2,3,4,5,6,7,8,9,10,11,12
A,48/80,5-HT,SLIGRL,HA,Cq,ß-ala,PAMP12,Subs. P,PBS,,,
B,48/80,5-HT,SLIGRL,HA,Cq,ß-ala,PAMP12,Subs. P,PBS,,,
C,48/80,5-HT,SLIGRL,HA,Cq,ß-ala,PAMP12,Subs. P,PBS,,,
D,500,250,125,0,Blank,,,,,,,
E,500,250,125,0,Blank,,,,,,,
F,500,250,125,0,Blank,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
